title,description,priority,tags
Malfunctioning traffic signal,There has been a persistent issue with malfunctioning traffic signal outside Building 14. Residents are concerned.,medium,"['public safety', 'signal']"
Flickering light,Citizens have complained about flickering light at the bus depot. It has been ignored for days.,medium,"['infrastructure', 'public safety', 'streetlight']"
Bad smell from drains,"Bad smell from drains reported in the market area, causing inconvenience and safety concerns.",low,"['health', 'sanitation', 'environment']"
Street in darkness,"Street in darkness reported in the market area, causing inconvenience and safety concerns.",high,"['public safety', 'streetlight']"
Malfunctioning traffic signal,Authorities are yet to act on the malfunctioning traffic signal problem near Sector 5.,medium,['signal']
Clogged drainage,"Clogged drainage reported at the bus depot, causing inconvenience and safety concerns.",high,"['health', 'sanitation', 'environment']"
Frequent voltage drops,Authorities are yet to act on the frequent voltage drops problem behind the hospital.,low,"['electricity', 'infrastructure', 'public safety']"
Bad smell from drains,"Bad smell from drains reported outside the railway station, causing inconvenience and safety concerns.",low,"['sanitation', 'environment']"
Faded zebra crossing,"A case of faded zebra crossing has emerged in the residential colony, disrupting daily activities.",low,"['transport', 'road']"
Unsafe footpath,Authorities are yet to act on the unsafe footpath problem behind the hospital.,high,['public safety']
Clogged drainage,"A case of clogged drainage has emerged outside the railway station, disrupting daily activities.",high,"['sanitation', 'environment']"
Faded zebra crossing,The area in the market area is suffering due to faded zebra crossing. Immediate attention is needed.,low,"['transport', 'road']"
Cracked pavement,Authorities are yet to act on the cracked pavement problem outside Building 14.,low,"['infrastructure', 'road']"
Overflowing bins,Authorities are yet to act on the overflowing bins problem at the community center.,low,"['environment', 'sanitation', 'garbage']"
Missing bus route board,There has been a persistent issue with missing bus route board outside the railway station. Residents are concerned.,low,"['transport', 'infrastructure', 'road']"
Damaged wall,Citizens have complained about damaged wall near Sector 5. It has been ignored for days.,low,['infrastructure']
Bad smell from drains,The area outside the railway station is suffering due to bad smell from drains. Immediate attention is needed.,low,"['sanitation', 'environment']"
Non-functional streetlight,There has been a persistent issue with non-functional streetlight in the market area. Residents are concerned.,medium,"['infrastructure', 'public safety', 'streetlight']"
Street in darkness,Citizens have complained about street in darkness by the school gate. It has been ignored for days.,high,['streetlight']
Dark alley,"Dark alley reported at the bus depot, causing inconvenience and safety concerns.",high,"['infrastructure', 'public safety', 'health']"
Dirty public toilet,There has been a persistent issue with dirty public toilet by the school gate. Residents are concerned.,low,"['health', 'sanitation', 'environment']"
Cracked pavement,"A case of cracked pavement has emerged near the lake, disrupting daily activities.",low,"['transport', 'infrastructure', 'road']"
Unsafe footpath,"Unsafe footpath reported at the community center, causing inconvenience and safety concerns.",high,['public safety']
Damaged bus stop,"A case of damaged bus stop has emerged near Sector 5, disrupting daily activities.",low,"['transport', 'infrastructure', 'road']"
Mosquito breeding site,"Mosquito breeding site reported outside Building 14, causing inconvenience and safety concerns.",low,['health']
Damaged road,Citizens have complained about damaged road by the school gate. It has been ignored for days.,low,['road']
Non-functional streetlight,There has been a persistent issue with non-functional streetlight at the bus depot. Residents are concerned.,medium,"['public safety', 'streetlight']"
Overflowing bins,Citizens have complained about overflowing bins at the community center. It has been ignored for days.,low,['garbage']
Street in darkness,Authorities are yet to act on the street in darkness problem in the residential colony.,high,['streetlight']
Overflowing bins,Authorities are yet to act on the overflowing bins problem near the lake.,low,"['environment', 'sanitation', 'garbage']"
School without drinking water,"School without drinking water reported outside the railway station, causing inconvenience and safety concerns.",low,"['health', 'education']"
Missing bus route board,"Missing bus route board reported at the community center, causing inconvenience and safety concerns.",low,"['transport', 'infrastructure']"
Missing bus route board,"Missing bus route board reported near Sector 5, causing inconvenience and safety concerns.",low,"['transport', 'infrastructure', 'road']"
Overflowing bins,The area by the school gate is suffering due to overflowing bins. Immediate attention is needed.,low,['garbage']
Cracked pavement,The area in the market area is suffering due to cracked pavement. Immediate attention is needed.,low,"['transport', 'infrastructure', 'road']"
Damaged wall,Authorities are yet to act on the damaged wall problem outside the railway station.,low,"['infrastructure', 'public safety']"
Faded zebra crossing,There has been a persistent issue with faded zebra crossing at the bus depot. Residents are concerned.,low,"['infrastructure', 'road']"
Malfunctioning traffic signal,"Malfunctioning traffic signal reported outside Building 14, causing inconvenience and safety concerns.",medium,"['transport', 'public safety', 'signal']"
School without drinking water,Citizens have complained about school without drinking water near the lake. It has been ignored for days.,low,"['infrastructure', 'health', 'education']"
Pipe leakage,There has been a persistent issue with pipe leakage behind the hospital. Residents are concerned.,low,"['health', 'sanitation', 'water']"
Polluted water body,The area outside the railway station is suffering due to polluted water body. Immediate attention is needed.,low,"['health', 'sanitation', 'environment']"
Contaminated water,"A case of contaminated water has emerged in the residential colony, disrupting daily activities.",low,"['health', 'water']"
Polluted water body,The area near the lake is suffering due to polluted water body. Immediate attention is needed.,low,"['health', 'sanitation', 'environment']"
Damaged bus stop,"A case of damaged bus stop has emerged outside Building 14, disrupting daily activities.",low,['transport']
Sparking transformer,"Sparking transformer reported near Sector 5, causing inconvenience and safety concerns.",high,['electricity']
Tree fallen on road,"A case of tree fallen on road has emerged in the residential colony, disrupting daily activities.",low,"['health', 'sanitation', 'environment']"
Faded zebra crossing,"Faded zebra crossing reported in the residential colony, causing inconvenience and safety concerns.",low,"['transport', 'road']"
Sparking transformer,Citizens have complained about sparking transformer in the residential colony. It has been ignored for days.,high,"['electricity', 'infrastructure', 'public safety']"
Unsafe footpath,"Unsafe footpath reported outside the railway station, causing inconvenience and safety concerns.",high,"['infrastructure', 'public safety', 'health']"
Open sewage,Authorities are yet to act on the open sewage problem behind the hospital.,high,"['sanitation', 'environment']"
Cracked pavement,Authorities are yet to act on the cracked pavement problem near Sector 5.,low,"['transport', 'infrastructure', 'road']"
Flickering light,There has been a persistent issue with flickering light at the community center. Residents are concerned.,medium,"['infrastructure', 'public safety', 'streetlight']"
Faded zebra crossing,Citizens have complained about faded zebra crossing at the bus depot. It has been ignored for days.,low,['road']
Street in darkness,The area in the residential colony is suffering due to street in darkness. Immediate attention is needed.,high,['streetlight']
Broken classroom windows,Citizens have complained about broken classroom windows in the market area. It has been ignored for days.,low,"['infrastructure', 'health', 'education']"
Clogged drainage,The area outside the railway station is suffering due to clogged drainage. Immediate attention is needed.,high,"['health', 'sanitation', 'environment']"
Pothole,Authorities are yet to act on the pothole problem by the school gate.,medium,"['transport', 'road']"
Fallen signboard,Authorities are yet to act on the fallen signboard problem at the bus depot.,low,['infrastructure']
Frequent voltage drops,Citizens have complained about frequent voltage drops in the market area. It has been ignored for days.,low,['electricity']
Polluted water body,Authorities are yet to act on the polluted water body problem near Sector 5.,low,"['health', 'environment']"
Contaminated water,"A case of contaminated water has emerged outside Building 14, disrupting daily activities.",low,['water']
Broken classroom windows,There has been a persistent issue with broken classroom windows outside Building 14. Residents are concerned.,low,['education']
Mosquito breeding site,Authorities are yet to act on the mosquito breeding site problem near the lake.,low,['health']
Sparking transformer,There has been a persistent issue with sparking transformer outside the railway station. Residents are concerned.,high,['electricity']
Uncollected garbage,Citizens have complained about uncollected garbage in the market area. It has been ignored for days.,medium,"['environment', 'garbage']"
Damaged wall,The area outside the railway station is suffering due to damaged wall. Immediate attention is needed.,low,['infrastructure']
Tree fallen on road,Citizens have complained about tree fallen on road in the market area. It has been ignored for days.,low,"['health', 'sanitation', 'environment']"
Non-functional streetlight,"Non-functional streetlight reported outside the railway station, causing inconvenience and safety concerns.",medium,"['infrastructure', 'public safety', 'streetlight']"
School without drinking water,"A case of school without drinking water has emerged near the lake, disrupting daily activities.",low,['education']
Malfunctioning traffic signal,There has been a persistent issue with malfunctioning traffic signal near Sector 5. Residents are concerned.,medium,"['transport', 'public safety', 'signal']"
Unsafe footpath,"Unsafe footpath reported in the market area, causing inconvenience and safety concerns.",high,['public safety']
Fallen signboard,Citizens have complained about fallen signboard near the lake. It has been ignored for days.,low,"['infrastructure', 'public safety', 'environment']"
Damaged bus stop,The area outside Building 14 is suffering due to damaged bus stop. Immediate attention is needed.,low,"['transport', 'infrastructure', 'road']"
Dirty public toilet,"A case of dirty public toilet has emerged near the lake, disrupting daily activities.",low,"['health', 'sanitation']"
Bad smell from drains,Authorities are yet to act on the bad smell from drains problem in the residential colony.,low,['sanitation']
Damaged bus stop,There has been a persistent issue with damaged bus stop near Sector 5. Residents are concerned.,low,"['transport', 'infrastructure', 'road']"
Flickering light,The area in the residential colony is suffering due to flickering light. Immediate attention is needed.,medium,"['infrastructure', 'streetlight']"
Power outage,The area behind the hospital is suffering due to power outage. Immediate attention is needed.,high,['electricity']
Frequent theft reports,"A case of frequent theft reports has emerged by the school gate, disrupting daily activities.",low,['public safety']
Bad smell from drains,There has been a persistent issue with bad smell from drains at the bus depot. Residents are concerned.,low,"['health', 'sanitation', 'environment']"
Flickering light,Authorities are yet to act on the flickering light problem in the market area.,medium,"['public safety', 'streetlight']"
Overflowing bins,Authorities are yet to act on the overflowing bins problem by the school gate.,low,"['sanitation', 'garbage']"
Street in darkness,The area by the school gate is suffering due to street in darkness. Immediate attention is needed.,high,"['infrastructure', 'public safety', 'streetlight']"
Frequent theft reports,"A case of frequent theft reports has emerged outside the railway station, disrupting daily activities.",low,"['infrastructure', 'public safety', 'health']"
Signal blocked by trees,"Signal blocked by trees reported at the bus depot, causing inconvenience and safety concerns.",medium,"['transport', 'public safety', 'signal']"
Broken classroom windows,Authorities are yet to act on the broken classroom windows problem near the lake.,low,['education']
Clogged drainage,There has been a persistent issue with clogged drainage behind the hospital. Residents are concerned.,high,"['sanitation', 'environment']"
Broken classroom windows,"A case of broken classroom windows has emerged near the lake, disrupting daily activities.",low,"['health', 'education']"
Non-functional streetlight,"Non-functional streetlight reported at the bus depot, causing inconvenience and safety concerns.",medium,['streetlight']
Power outage,"Power outage reported by the school gate, causing inconvenience and safety concerns.",high,"['electricity', 'infrastructure']"
Polluted water body,There has been a persistent issue with polluted water body behind the hospital. Residents are concerned.,low,['environment']
Fallen signboard,There has been a persistent issue with fallen signboard at the bus depot. Residents are concerned.,low,"['infrastructure', 'public safety', 'environment']"
Malfunctioning traffic signal,Citizens have complained about malfunctioning traffic signal outside the railway station. It has been ignored for days.,medium,"['transport', 'signal']"
Non-functional streetlight,"A case of non-functional streetlight has emerged in the residential colony, disrupting daily activities.",medium,['streetlight']
Overflowing bins,"A case of overflowing bins has emerged at the bus depot, disrupting daily activities.",low,['garbage']
Street in darkness,Citizens have complained about street in darkness near Sector 5. It has been ignored for days.,high,"['infrastructure', 'public safety', 'streetlight']"
Damaged wall,Authorities are yet to act on the damaged wall problem near Sector 5.,low,"['infrastructure', 'public safety', 'environment']"
Malfunctioning traffic signal,"A case of malfunctioning traffic signal has emerged behind the hospital, disrupting daily activities.",medium,['signal']
Polluted water body,"Polluted water body reported at the community center, causing inconvenience and safety concerns.",low,"['health', 'environment']"
Signal blocked by trees,The area behind the hospital is suffering due to signal blocked by trees. Immediate attention is needed.,medium,"['transport', 'public safety', 'signal']"
School without drinking water,"School without drinking water reported in the residential colony, causing inconvenience and safety concerns.",low,['education']
Waste dumped on street,Citizens have complained about waste dumped on street near Sector 5. It has been ignored for days.,low,"['environment', 'sanitation', 'garbage']"
No water supply,"A case of no water supply has emerged near the lake, disrupting daily activities.",low,['water']
Tree fallen on road,There has been a persistent issue with tree fallen on road near the lake. Residents are concerned.,low,"['health', 'sanitation', 'environment']"
Fallen signboard,The area in the residential colony is suffering due to fallen signboard. Immediate attention is needed.,low,"['infrastructure', 'public safety']"
Dirty public toilet,The area near Sector 5 is suffering due to dirty public toilet. Immediate attention is needed.,low,"['health', 'sanitation']"
Malfunctioning traffic signal,Citizens have complained about malfunctioning traffic signal by the school gate. It has been ignored for days.,medium,"['public safety', 'signal']"
Faded zebra crossing,"Faded zebra crossing reported near the lake, causing inconvenience and safety concerns.",low,"['transport', 'infrastructure', 'road']"
No water supply,The area in the residential colony is suffering due to no water supply. Immediate attention is needed.,low,"['health', 'sanitation', 'water']"
Power outage,Citizens have complained about power outage outside Building 14. It has been ignored for days.,high,['electricity']
Broken classroom windows,Citizens have complained about broken classroom windows at the community center. It has been ignored for days.,low,['education']
Flickering light,Authorities are yet to act on the flickering light problem near Sector 5.,medium,"['infrastructure', 'streetlight']"
Power outage,"Power outage reported at the bus depot, causing inconvenience and safety concerns.",high,"['electricity', 'infrastructure']"
Signal blocked by trees,Citizens have complained about signal blocked by trees in the market area. It has been ignored for days.,medium,"['transport', 'signal']"
Bad smell from drains,Authorities are yet to act on the bad smell from drains problem near the lake.,low,['sanitation']
School without drinking water,The area behind the hospital is suffering due to school without drinking water. Immediate attention is needed.,low,"['health', 'education']"
Polluted water body,Authorities are yet to act on the polluted water body problem at the community center.,low,"['health', 'environment']"
Missing bus route board,There has been a persistent issue with missing bus route board behind the hospital. Residents are concerned.,low,"['transport', 'infrastructure']"
Mosquito breeding site,The area by the school gate is suffering due to mosquito breeding site. Immediate attention is needed.,low,"['health', 'environment']"
Frequent theft reports,Citizens have complained about frequent theft reports outside the railway station. It has been ignored for days.,low,"['public safety', 'health']"
Waste dumped on street,Authorities are yet to act on the waste dumped on street problem outside Building 14.,low,['garbage']
Damaged wall,Authorities are yet to act on the damaged wall problem near the lake.,low,"['infrastructure', 'public safety', 'environment']"
Damaged road,"A case of damaged road has emerged by the school gate, disrupting daily activities.",low,['road']
Frequent theft reports,Authorities are yet to act on the frequent theft reports problem by the school gate.,low,"['infrastructure', 'public safety']"
Cracked pavement,There has been a persistent issue with cracked pavement at the bus depot. Residents are concerned.,low,['road']
Unsafe footpath,There has been a persistent issue with unsafe footpath outside Building 14. Residents are concerned.,high,"['infrastructure', 'public safety', 'health']"
Waste dumped on street,Authorities are yet to act on the waste dumped on street problem at the bus depot.,low,"['environment', 'sanitation', 'garbage']"
Broken bench,The area at the community center is suffering due to broken bench. Immediate attention is needed.,medium,"['infrastructure', 'environment']"
Sparking transformer,Authorities are yet to act on the sparking transformer problem behind the hospital.,high,"['electricity', 'infrastructure']"
Dirty public toilet,Citizens have complained about dirty public toilet near the lake. It has been ignored for days.,low,"['health', 'sanitation']"
Overflowing bins,Citizens have complained about overflowing bins in the market area. It has been ignored for days.,low,"['environment', 'sanitation', 'garbage']"
Open sewage,There has been a persistent issue with open sewage near the lake. Residents are concerned.,high,"['health', 'sanitation', 'environment']"
Overflowing bins,Citizens have complained about overflowing bins near Sector 5. It has been ignored for days.,low,"['sanitation', 'garbage']"
Tree fallen on road,"Tree fallen on road reported by the school gate, causing inconvenience and safety concerns.",low,['environment']
Sparking transformer,Citizens have complained about sparking transformer near Sector 5. It has been ignored for days.,high,['electricity']
Damaged bus stop,Citizens have complained about damaged bus stop by the school gate. It has been ignored for days.,low,"['transport', 'road']"
School without drinking water,Citizens have complained about school without drinking water at the bus depot. It has been ignored for days.,low,"['infrastructure', 'health', 'education']"
Clogged drainage,"A case of clogged drainage has emerged behind the hospital, disrupting daily activities.",high,"['health', 'sanitation', 'environment']"
No water supply,There has been a persistent issue with no water supply behind the hospital. Residents are concerned.,low,"['health', 'sanitation', 'water']"
Dirty public toilet,Citizens have complained about dirty public toilet in the market area. It has been ignored for days.,low,"['health', 'environment']"
Damaged bus stop,The area near the lake is suffering due to damaged bus stop. Immediate attention is needed.,low,"['transport', 'infrastructure', 'road']"
Flickering light,"Flickering light reported behind the hospital, causing inconvenience and safety concerns.",medium,"['infrastructure', 'streetlight']"
Polluted water body,There has been a persistent issue with polluted water body near Sector 5. Residents are concerned.,low,"['health', 'environment']"
Malfunctioning traffic signal,There has been a persistent issue with malfunctioning traffic signal near the lake. Residents are concerned.,medium,['signal']
Dark alley,Citizens have complained about dark alley behind the hospital. It has been ignored for days.,high,"['infrastructure', 'public safety', 'health']"
Bad smell from drains,"A case of bad smell from drains has emerged by the school gate, disrupting daily activities.",low,"['health', 'sanitation', 'environment']"
Overflowing bins,Authorities are yet to act on the overflowing bins problem at the bus depot.,low,"['environment', 'sanitation', 'garbage']"
Uncollected garbage,Authorities are yet to act on the uncollected garbage problem outside the railway station.,medium,"['environment', 'sanitation', 'garbage']"
School without drinking water,Authorities are yet to act on the school without drinking water problem near the lake.,low,['education']
Overflowing bins,There has been a persistent issue with overflowing bins at the bus depot. Residents are concerned.,low,['garbage']
Overflowing bins,"A case of overflowing bins has emerged at the community center, disrupting daily activities.",low,"['environment', 'garbage']"
Malfunctioning traffic signal,Citizens have complained about malfunctioning traffic signal near the lake. It has been ignored for days.,medium,['signal']
Pipe leakage,Citizens have complained about pipe leakage at the bus depot. It has been ignored for days.,low,['water']
Malfunctioning traffic signal,The area near the lake is suffering due to malfunctioning traffic signal. Immediate attention is needed.,medium,['signal']
Dark alley,"A case of dark alley has emerged in the residential colony, disrupting daily activities.",high,"['infrastructure', 'public safety', 'health']"
Damaged wall,The area at the community center is suffering due to damaged wall. Immediate attention is needed.,low,['infrastructure']
School without drinking water,"School without drinking water reported by the school gate, causing inconvenience and safety concerns.",low,"['infrastructure', 'education']"
Contaminated water,Citizens have complained about contaminated water in the residential colony. It has been ignored for days.,low,"['health', 'sanitation', 'water']"
School without drinking water,Authorities are yet to act on the school without drinking water problem near the lake.,low,"['health', 'education']"
Power outage,Citizens have complained about power outage by the school gate. It has been ignored for days.,high,"['electricity', 'public safety']"
Power outage,"Power outage reported near the lake, causing inconvenience and safety concerns.",high,['electricity']
Fallen signboard,The area at the bus depot is suffering due to fallen signboard. Immediate attention is needed.,low,"['infrastructure', 'public safety']"
No water supply,Citizens have complained about no water supply in the residential colony. It has been ignored for days.,low,"['sanitation', 'water']"
Tree fallen on road,Authorities are yet to act on the tree fallen on road problem near Sector 5.,low,"['health', 'sanitation', 'environment']"
Overflowing bins,There has been a persistent issue with overflowing bins near the lake. Residents are concerned.,low,"['sanitation', 'garbage']"
Clogged drainage,"Clogged drainage reported at the bus depot, causing inconvenience and safety concerns.",high,['sanitation']
Broken bench,"A case of broken bench has emerged outside Building 14, disrupting daily activities.",medium,"['infrastructure', 'environment']"
Frequent theft reports,There has been a persistent issue with frequent theft reports at the bus depot. Residents are concerned.,low,['public safety']
Damaged road,"A case of damaged road has emerged behind the hospital, disrupting daily activities.",low,['road']
Faded zebra crossing,Authorities are yet to act on the faded zebra crossing problem near Sector 5.,low,"['transport', 'infrastructure', 'road']"
Street in darkness,"Street in darkness reported near Sector 5, causing inconvenience and safety concerns.",high,['streetlight']
Mosquito breeding site,Citizens have complained about mosquito breeding site outside Building 14. It has been ignored for days.,low,"['health', 'environment']"
Damaged road,"Damaged road reported outside the railway station, causing inconvenience and safety concerns.",low,"['infrastructure', 'road']"
School without drinking water,Citizens have complained about school without drinking water by the school gate. It has been ignored for days.,low,"['health', 'education']"
Damaged wall,The area in the market area is suffering due to damaged wall. Immediate attention is needed.,low,"['infrastructure', 'public safety']"
Missing bus route board,Authorities are yet to act on the missing bus route board problem near the lake.,low,"['transport', 'infrastructure', 'road']"
Non-functional streetlight,"Non-functional streetlight reported at the community center, causing inconvenience and safety concerns.",medium,"['infrastructure', 'public safety', 'streetlight']"
Uncollected garbage,The area at the bus depot is suffering due to uncollected garbage. Immediate attention is needed.,medium,"['sanitation', 'garbage']"
Signal blocked by trees,The area at the bus depot is suffering due to signal blocked by trees. Immediate attention is needed.,medium,"['transport', 'public safety', 'signal']"
Street in darkness,"A case of street in darkness has emerged outside the railway station, disrupting daily activities.",high,"['infrastructure', 'streetlight']"
Signal blocked by trees,"A case of signal blocked by trees has emerged by the school gate, disrupting daily activities.",medium,"['transport', 'signal']"
Damaged wall,"Damaged wall reported outside Building 14, causing inconvenience and safety concerns.",low,['infrastructure']
Open sewage,"A case of open sewage has emerged at the bus depot, disrupting daily activities.",high,"['health', 'sanitation']"
School without drinking water,There has been a persistent issue with school without drinking water in the market area. Residents are concerned.,low,['education']
Pipe leakage,Authorities are yet to act on the pipe leakage problem outside the railway station.,low,['water']
Dirty public toilet,Authorities are yet to act on the dirty public toilet problem at the bus depot.,low,['health']
Unsafe footpath,"Unsafe footpath reported outside Building 14, causing inconvenience and safety concerns.",high,['public safety']
Broken classroom windows,"Broken classroom windows reported in the market area, causing inconvenience and safety concerns.",low,"['health', 'education']"
Cracked pavement,There has been a persistent issue with cracked pavement by the school gate. Residents are concerned.,low,"['transport', 'infrastructure', 'road']"
Bad smell from drains,The area by the school gate is suffering due to bad smell from drains. Immediate attention is needed.,low,"['health', 'sanitation']"
Non-functional streetlight,Authorities are yet to act on the non-functional streetlight problem at the community center.,medium,"['infrastructure', 'public safety', 'streetlight']"
Open sewage,"Open sewage reported at the bus depot, causing inconvenience and safety concerns.",high,['sanitation']
Flickering light,The area by the school gate is suffering due to flickering light. Immediate attention is needed.,medium,"['public safety', 'streetlight']"
Missing bus route board,There has been a persistent issue with missing bus route board by the school gate. Residents are concerned.,low,['transport']
Missing bus route board,Citizens have complained about missing bus route board outside Building 14. It has been ignored for days.,low,"['transport', 'infrastructure', 'road']"
Cracked pavement,There has been a persistent issue with cracked pavement outside the railway station. Residents are concerned.,low,"['transport', 'infrastructure', 'road']"
Pothole,There has been a persistent issue with pothole near the lake. Residents are concerned.,medium,"['transport', 'road']"
Polluted water body,There has been a persistent issue with polluted water body in the market area. Residents are concerned.,low,"['sanitation', 'environment']"
Pipe leakage,"Pipe leakage reported at the bus depot, causing inconvenience and safety concerns.",low,"['sanitation', 'water']"
Polluted water body,There has been a persistent issue with polluted water body by the school gate. Residents are concerned.,low,"['health', 'environment']"
Damaged bus stop,There has been a persistent issue with damaged bus stop behind the hospital. Residents are concerned.,low,['transport']
Frequent theft reports,The area in the market area is suffering due to frequent theft reports. Immediate attention is needed.,low,"['public safety', 'health']"
Pothole,The area behind the hospital is suffering due to pothole. Immediate attention is needed.,medium,"['infrastructure', 'road']"
Malfunctioning traffic signal,There has been a persistent issue with malfunctioning traffic signal near Sector 5. Residents are concerned.,medium,['signal']
Dark alley,"A case of dark alley has emerged at the bus depot, disrupting daily activities.",high,['public safety']
Bad smell from drains,Authorities are yet to act on the bad smell from drains problem by the school gate.,low,"['sanitation', 'environment']"
Power outage,"Power outage reported outside the railway station, causing inconvenience and safety concerns.",high,['electricity']
Sparking transformer,"A case of sparking transformer has emerged by the school gate, disrupting daily activities.",high,['electricity']
Open sewage,The area in the market area is suffering due to open sewage. Immediate attention is needed.,high,['sanitation']
Clogged drainage,Citizens have complained about clogged drainage near the lake. It has been ignored for days.,high,"['health', 'sanitation', 'environment']"
School without drinking water,Authorities are yet to act on the school without drinking water problem behind the hospital.,low,"['health', 'education']"
Dark alley,There has been a persistent issue with dark alley outside Building 14. Residents are concerned.,high,['public safety']
Frequent theft reports,Authorities are yet to act on the frequent theft reports problem near the lake.,low,"['public safety', 'health']"
Tree fallen on road,Authorities are yet to act on the tree fallen on road problem outside Building 14.,low,['environment']
Dark alley,Authorities are yet to act on the dark alley problem in the market area.,high,"['infrastructure', 'public safety', 'health']"
Missing bus route board,Citizens have complained about missing bus route board in the market area. It has been ignored for days.,low,"['transport', 'infrastructure', 'road']"
Polluted water body,"Polluted water body reported near the lake, causing inconvenience and safety concerns.",low,"['health', 'sanitation', 'environment']"
Broken classroom windows,The area at the community center is suffering due to broken classroom windows. Immediate attention is needed.,low,['education']
Faded zebra crossing,"Faded zebra crossing reported at the community center, causing inconvenience and safety concerns.",low,"['infrastructure', 'road']"
School without drinking water,"A case of school without drinking water has emerged behind the hospital, disrupting daily activities.",low,"['health', 'education']"
Mosquito breeding site,"A case of mosquito breeding site has emerged at the bus depot, disrupting daily activities.",low,"['health', 'environment']"
Broken classroom windows,Citizens have complained about broken classroom windows near the lake. It has been ignored for days.,low,"['infrastructure', 'education']"
Missing bus route board,"Missing bus route board reported near the lake, causing inconvenience and safety concerns.",low,"['transport', 'infrastructure']"
